,¿¬µµ,¿ù,¼øÀ§,ÆÀ¸í,°æ±â,QS,¿ÏÅõ,¿ÏºÀ,»ïÁø/9,º¼³Ý/9,È¨·±/9,»ï/º¼,ÇÇ¾ÈÅ¸À²,ÇÇÃâ·çÀ²,ÇÇÀåÅ¸À²,ÇÇOPS,WHIP,BABIP,LOB%,ERA,RA9-WAR,FIP,kFIP,WAR
126,2016,8,7,SK,25,7,0,0,6.38,3.68,1.02,1.73,0.292,0.365,0.431,0.796,1.56,0.329,66.5,5.52,4.04,5.21,5.26,2.24
127,2016,8,8,ÇÑÈ­,24,3,0,0,7.20,3.86,1.29,1.87,0.300,0.373,0.453,0.827,1.63,0.341,62.2,6.30,2.39,5.49,5.46,1.64
128,2016,8,9,·Ôµ¥,23,12,0,0,6.86,3.61,1.34,1.90,0.308,0.376,0.488,0.864,1.64,0.348,69.6,5.57,4.16,5.49,5.47,2.55
129,2016,8,10,KT,23,7,0,0,8.09,3.36,1.23,2.41,0.318,0.379,0.497,0.876,1.70,0.377,60.4,6.45,0.60,5.04,4.86,2.32
130,2016,9,1,µÎ»ê,22,11,1,1,7.02,3.28,0.92,2.14,0.281,0.350,0.410,0.759,1.44,0.326,74.3,4.34,6.17,4.81,4.76,3.64
131,2016,9,2,LG,21,10,1,1,5.97,3.27,0.71,1.83,0.257,0.332,0.370,0.702,1.33,0.292,73.4,3.55,6.85,4.77,4.86,2.59
132,2016,9,3,NC,25,6,0,0,8.13,3.65,1.31,2.23,0.270,0.344,0.424,0.767,1.44,0.317,77.3,4.20,6.97,5.20,5.02,3.41
133,2016,9,4,·Ôµ¥,21,5,0,0,6.51,4.30,0.78,1.51,0.303,0.384,0.465,0.848,1.67,0.348,64.6,5.48,2.87,5.04,5.11,2.57
134,2016,9,5,»ï¼º,23,7,0,0,6.86,3.89,1.44,1.76,0.295,0.374,0.470,0.844,1.62,0.329,68.2,5.99,3.81,5.86,5.89,1.64
135,2016,9,6,ÇÑÈ­,23,6,0,0,6.37,4.03,1.13,1.58,0.327,0.397,0.468,0.864,1.75,0.368,69.1,5.72,2.95,5.38,5.42,1.17
136,2016,9,7,KIA,20,7,0,0,7.39,3.54,1.04,2.09,0.284,0.354,0.415,0.769,1.49,0.329,70.4,4.68,4.52,4.97,4.89,2.83
137,2016,9,8,Hero,21,5,0,0,6.64,3.32,1.09,2.00,0.306,0.374,0.460,0.834,1.60,0.347,66.5,6.09,2.71,5.26,5.29,1.59
138,2016,9,9,SK,19,9,0,0,7.26,3.47,0.96,2.09,0.283,0.352,0.426,0.778,1.50,0.328,61.8,5.50,2.43,4.83,4.75,2.32
139,2016,9,10,KT,23,9,0,0,6.94,4.08,0.73,1.70,0.328,0.401,0.470,0.871,1.79,0.385,64.5,6.22,2.65,4.84,4.85,3.42
140,2016,10,1,ÇÑÈ­,4,1,0,0,7.05,3.41,1.22,2.07,0.283,0.354,0.441,0.795,1.49,0.319,82.4,3.89,0.93,5.28,5.24,0.29
