,연도,선수이름,팀명,평균자책점,경기,승,패,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당 출루허용률
302,2016,박세웅,롯데,5.76,27,7,12,0,0,0.368,139,160,17,62,6,133,97,89,1.60
303,2016,박진형,롯데,5.81,39,6,2,0,3,0.750,93,101,9,54,13,78,65,60,1.67
304,2016,윤길현,롯데,6.00,62,7,7,2,16,0.500,60,75,8,22,2,50,42,40,1.62
305,2016,박한길,롯데,6.06,9,0,0,0,0,-,16 1/3,24,1,7,1,10,15,11,1.90
306,2016,김유영,롯데,6.55,46,0,1,1,3,0.000,34 1/3,37,3,30,0,31,32,25,1.95
307,2016,노경은,롯데,6.85,22,3,12,0,0,0.200,94 2/3,128,13,48,5,52,79,72,1.86
308,2016,이성민,롯데,7.08,36,6,5,0,1,0.545,68 2/3,89,11,42,4,47,59,54,1.91
309,2016,김성재,롯데,7.36,6,0,0,0,0,-,3 2/3,5,2,2,0,3,3,3,1.91
310,2016,송승준,롯데,8.71,10,1,2,0,0,0.333,41 1/3,62,6,21,2,35,43,40,2.01
311,2016,이명우,롯데,9.27,45,2,3,0,6,0.400,33,41,5,18,1,25,37,34,1.79
312,2016,김원중,롯데,9.39,3,0,1,0,0,0.000,7 2/3,7,2,8,0,5,8,8,1.96
313,2016,강승현,롯데,9.72,6,0,0,0,0,-,8 1/3,14,2,5,0,7,9,9,2.28
314,2016,이경우,롯데,13.50,1,0,0,0,0,-,2,3,1,0,0,1,3,3,1.50
315,2016,차재용,롯데,20.25,2,0,0,0,0,-,2 2/3,3,1,4,0,0,6,6,2.63
316,2016,김승현,삼성,0.00,2,0,0,0,0,-,2,1,0,0,0,1,0,0,0.50
317,2016,심창민,삼성,2.97,62,2,6,25,4,0.250,72 2/3,59,6,26,4,76,29,24,1.17
318,2016,신용운,삼성,3.38,13,0,0,0,2,-,8,12,0,4,3,7,7,3,2.00
319,2016,김현우,삼성,3.48,17,1,0,0,0,1.000,20 2/3,26,3,4,2,19,9,8,1.45
320,2016,김건한,삼성,3.72,3,1,0,0,0,1.000,9 2/3,9,1,3,1,7,5,4,1.24
321,2016,권오준,삼성,3.88,41,1,3,0,7,0.250,46 1/3,48,9,11,3,35,20,20,1.27
322,2016,박민규,삼성,4.26,6,0,0,0,0,-,6 1/3,7,0,5,0,4,3,3,1.89
323,2016,윤성환,삼성,4.35,28,11,10,0,0,0.524,180,202,25,41,13,85,95,87,1.35
324,2016,차우찬,삼성,4.73,24,12,6,0,0,0.667,152 1/3,168,16,65,8,120,87,80,1.53
325,2016,김대우,삼성,5.05,67,6,0,0,11,1.000,66,82,8,19,6,37,39,37,1.53
326,2016,장필준,삼성,5.13,56,4,6,4,9,0.400,72,82,9,26,5,57,42,41,1.50
327,2016,임대한,삼성,5.14,26,0,1,0,0,0.000,28,33,2,14,2,13,18,16,1.68
328,2016,웹스터,삼성,5.70,12,4,4,0,0,0.500,71,72,10,47,3,59,48,45,1.68
329,2016,백정현,삼성,5.77,70,6,3,0,9,0.667,68 2/3,73,9,30,2,77,44,44,1.50
